Name,Park,City,State,Country,Type,Construction,Construction,Height,Speed,Length,Inversions,Inversions,Numinversions,Duration,GForce,Opened,Region
Catariños,Parque Plaza Sesamo,Monterrey,MX,MX,S,Steel,1,3.3,26,60.2,No,0,0,,,2006,Latin America
Montaña Rusa,Mundo Divertido,Mexicali,MX,MX,S,Steel,1,11,,365,Yes,1,1,,,2002,Latin America
Montaña Rusa,Mundo Divertido,Tijuana,MX,MX,S,Steel,1,11,,365,Yes,1,1,,,2002,Latin America
Tornado,Bosque Mágico,Guadalupe,MX,MX,S,Steel,1,19.5,60,350,Yes,1,2,,,2001,Latin America
Tsunaumi,Isla San Marcos Parque Temático,Aguascalientes,MX,MX,S,Steel,1,35.1,86.9,1120.1,Yes,1,4,,,2008,Latin America
Bocaraca,Parque de Diversiones Dr Roberto Ortiz Brenes,"San José, CR",CR,CR,S,Steel,1,19.5,60,350,Yes,1,2,,,2005,Latin America
Teletren,Parque de Diversiones Dr Roberto Ortiz Brenes,"San José, CR",CR,CR,S,Steel,1,4,,80,No,0,0,,,2002,Latin America
Búmeran,Parque Diversiones,"San José, CR",CR,CR,S,Steel,1,35.5,75.6,285,Yes,1,3,96,5.2,2012,Latin America
Montana Ghibli,Parque Diversiones,"San José, CR",CR,CR,S,Steel,1,3.4,,,No,0,0,,,1984,Latin America
Teletren,Parque Diversiones,"San José, CR",CR,CR,S,Steel,1,4,,80,No,0,0,,,2002,Latin America
Avalancha,Xetulul,"Retalhuleu, Guatamala",GT,GT,S,Steel,1,,88,,Yes,1,8,,,,Latin America
Choconoy,Xetulul,"Retalhuleu, Guatamala",GT,GT,S,Steel,1,8,36,360,No,0,0,,,2002,Latin America
Moto Bala,Mundo Petapa,"Guatamala City,",GT,GT,S,Steel,1,13,65,364,No,0,0,,,2010,Latin America
Bambo Coaster,Salitre Mágico,Bogotá,CO,CO,S,Steel,1,18,90.1,860.1,Yes,1,2,,,2004,Latin America
Corkscrew,Salitre Mágico,Bogotá,CO,CO,S,Steel,1,21.3,,381,Yes,1,2,70,,2000,Latin America
Tornado,Salitre Mágico,Bogotá,CO,CO,S,Steel,1,,,872.3,No,0,0,,,2010,Latin America
Broco,Parque Nacional del Café,Montenegro,CO,CO,S,Steel,1,17.3,66.2,787.3,No,0,0,151,2.1,1999,Latin America
Montaña Rusa,Mundo Aventura,Bogotá,CO,CO,S,Steel,1,15,,330,No,0,0,,,,Latin America
Vertigo,Dunas,Valencia,VE,VE,S,Steel,1,10.1,,200,Yes,1,1,60,,2007,Latin America
Katapul,Hopi Hari,São Paulo,BR,BR,S,Steel,1,42,85.3,220.1,Yes,1,1,,,1999,Latin America
Boomerang,Playcenter São Paulo,São Paulo,BR,BR,S,Steel,1,35.5,75.6,285,Yes,1,3,108,,1997,Latin America
Looping Star,Playcenter São Paulo,São Paulo,BR,BR,S,Steel,1,24.5,77,592,Yes,1,1,,,,Latin America
Looping Star,Mirobillandia,"Olinda, PB",BR,BR,S,Steel,1,11,,365,Yes,1,1,,,,Latin America
Super Tornado,Mirobillandia,"Olinda, PB",BR,BR,S,Steel,1,19.5,60,350,Yes,1,2,,,2008,Latin America
Roller Coaster,Nocolandia Center Park,Brasilia,BR,BR,S,Steel,1,11,45,325,No,0,0,55,,2006,Latin America
Firewhip,Beto Carrero World,"Penha, SC",BR,BR,S,Steel,1,33.3,80,689,Yes,1,5,96,,2008,Latin America
Star World Mountain,Beto Carrero World,"Penha, SC",BR,BR,S,Steel,1,22.9,64.4,731.5,Yes,1,2,,,,Latin America
Looping,Sol park,"Aparecida, SP",BR,BR,S,Steel,1,11,,365,Yes,1,1,,,,Latin America
O Mundo de Xuxa,O Mundo de Xuxa Theme park,São Paulo,BR,BR,S,Steel,1,9.5,40,320,No,0,0,,,1997,Latin America
Montezum,Hopi hari,São Paulo,BR,BR,W,Wood,0,42.4,103,1030.2,No,0,0,,,1999,Latin America
Batman,Beto Carrero World,"Penha, SC",BR,BR,S,Steel,1,61,104.6,346.6,Yes,1,1,0.3,5,2013,Latin America
Robin,Beto Carrero World,"Penha, SC",BR,BR,S,Steel,1,61,104.6,374.6,Yes,1,2,0.5,5,2014,Latin America
Unknown,Hopi Hari,São Paulo,BR,BR,S,Steel,1,33,85,875,Yes,1,10,,,2013,Latin America
Twisted Coaster,HotZone,Rio de Janeiro,BR,BR,S,Steel,1,8,28,175,Yes,1,0,,,2012,Latin America
Sky Mountain,Mirobillandia,"Olinda, PB",BR,BR,S,Steel,1,58.4,105.6,367,Yes,1,3,92,4.5,,Latin America
Colossu's Loop,Nicolandia Center Park,"Brasilia, BFD",BR,BR,S,Steel,1,12.4,,,Yes,1,1,,,,Latin America
Roller Coaster,Nicolandia Center Park,"Brasilia, BFD",BR,BR,S,Steel,1,11,45,325,No,0,0,55,,2002,Latin America
O Munda da Xuxa,O Munda da Xuxa,São Paulo,BR,BR,S,Steel,1,9.5,40,320,No,0,0,,,,Latin America
Aconcagua,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,1,36.2,93.2,751,No,0,0,,,1982,Latin America
Alpen Blitz,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,1,5,72,210,No,0,0,,,1984,Latin America
JetStar,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,1,13.5,50,538,No,0,0,,,1982,Latin America
Montaña Rusa Infantil,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,1,3,30,190,No,0,0,,,1983,Latin America
Vertigorama,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,1,38,91,1816,No,0,0,,,1983,Latin America
Wild Cat,Parque de la Ciudad,"Buenos Aires, BA",AR,AR,S,Steel,1,13.5,,460,No,0,0,,,1982,Latin America
Tigre,Parque de la Costa,"Buenos Aires, BA",AR,AR,S,Steel,1,35.5,75.6,285,Yes,1,3,128,5.2,1998,Latin America
Desafio,Parque de la Costa,"Buenos Aires, BA",AR,AR,S,Steel,1,33.3,80,689,Yes,1,5,96,,1999,Latin America
Torbellino,Parque de la Costa,"Buenos Aires, BA",AR,AR,S,Steel,1,,,340,No,0,0,,,2010,Latin America
Vigia,Parque de la Costa,"Buenos Aires, BA",AR,AR,S,Steel,1,8,36,360,No,0,0,,,1998,Latin America
Boomerang,Fantasilandia,"Santiago, Santiago",CL,CL,S,Steel,1,35.5,75.6,285,Yes,1,3,108,5.2,1998,Latin America
Raptor,Fantasilandia,"Santiago, Santiago",CL,CL,S,Steel,1,33.3,80,689,Yes,1,5,96,,2008,Latin America
Wild Mouse,Fantasilandia,"Santiago, Santiago",CL,CL,S,Steel,1,13,46.8,420,No,0,0,90,2.5,2006,Latin America
Dark Ride,Mundo Aventura,Bogotá,CO,CO,S,Steel,1,15,,330,No,0,0,,,2012,Latin America
Chiquita Montaña Rusa,VulQano Park,Quito,EQ,EQ,S,Steel,1,4,,80,No,0,0,,,2005,Latin America
Montaña Rusa,VulQano Park,Quito,EQ,EQ,S,Steel,1,11,,365,Yes,1,1,,,2005,Latin America
Jet Star,Aventura Park,Lima,PE,PE,S,Steel,1,13.5,50,538,No,0,0,,,,Latin America
Montaña Ratón,Graje Villa,Lima,PE,PE,S,Steel,1,3.6,22.7,60,No,0,0,,,2002,Latin America
Unknown,Parque Italo-Americano,"Caracas, DF",CO,CO,S,Steel,1,10,,,No,0,0,,,2011,Latin America
,Festyland,"Bretteville-Sur-Odon, Normandy",F,F,S,Steel,1,,65,400,No,0,0,60,,2005,Europe
Alpine Bobs,Holly Park,"Échemiré, Pays de la Loire",F,F,S,Steel,1,13.5,50,538,No,0,0,,,2003,Europe
Anaconda,Walygator Parc,"Maizières-les-Metz, Lorraine",F,F,W,Wood,0,36,,1200,No,0,0,130,,1989,Europe
Azteka,Le Pal,"Dompierre Sur Besbre, Centre",F,F,S,Steel,1,17,55,500,No,0,0,,,2003,Europe
Balancier des Fortiches,Futuroscope - Le Parc,"Poitiers, Poitou-Charentes",F,F,S,Steel,1,6.1,,,No,0,0,,,2006,Europe
Big Thunder Mountain,Disneyland Resort Paris - Disneyland Park,"Marne la Vallée, Ile-de-France",F,F,S,Steel,1,22,65,1500,No,0,0,236,,1992,Europe
Boomerang,Walibi Aquitaine,"Roquefort, Aquitaine",F,F,S,Steel,1,35.5,75.6,285,Yes,1,3,128,5.2,1992,Europe
Boomerang,Walibi Rhône-Alpes,"Les Avenières, Rhône-Alpes",F,F,S,Steel,1,35.5,76,285,Yes,1,3,128,5.2,1992,Europe
Coccinelle,Walibi Aquitaine,"Roquefort, Aquitaine",F,F,S,Steel,1,8,36,360,No,0,0,,,1992,Europe
Coccinelle des Andes,Walibi Rhône-Alpes,"Les Avenières, Rhône-Alpes",F,F,S,Steel,1,8,36,360,No,0,0,,,1992,Europe
Corsaire,Cobac Parc,"Lanhélin, Brittany",F,F,S,Steel,1,10,40,300,No,0,0,,,2007,Europe
Déval'Train,Parc Touristique des Combes,"Creusot, Burgundy",F,F,S,Steel,1,8.5,35,207,No,0,0,44,,2003,Europe
Dragon,Jardin d'Acclimatation,"Paris, Ile-de-France",F,F,S,Steel,1,5,,200,No,0,0,75,,1987,Europe
EuroLoop,Europark,"Vias, Languedoc-Roussillon",F,F,S,Steel,1,30,65,,Yes,1,4,,,2004,Europe
Eurospeed,Europark,"Vias, Languedoc-Roussillon",F,F,S,Steel,1,,60,650,No,0,0,,,2009,Europe
Family Coaster,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,1,4.5,,,No,0,0,,,2005,Europe
Formule 1,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,1,15,,380,No,0,0,,,2005,Europe
Goudurix,Parc Astérix,"Plailly, Picardie",F,F,S,Steel,1,36,90,950,Yes,1,7,80,,1989,Europe
Grand 8 TGV,Florida Parc,"Brochon, Burgundy",F,F,S,Steel,1,,,200,No,0,0,,,2006,Europe
Grand Huit,La Récré des 3 Curés,"Milizac, Brittany",F,F,S,Steel,1,10,,,No,0,0,,,2001,Europe
Indiana Jones et le Temple du Péril,Disneyland Resort Paris - Disneyland Park,"Marne la Vallée, Ile-de-France",F,F,S,Steel,1,,,600,Yes,1,1,75,,1993,Europe
Mini Mouse Cartoon,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,1,3,,85.3,No,0,0,86,,2004,Europe
Périférix,Parc Astérix,"Plailly, Picardie",F,F,S,Steel,1,6,32,199,No,0,0,90,,1990,Europe
Pile Ou Face,France Miniature,"Élancourt, Ile-de-France",F,F,S,Steel,1,6,,,No,0,0,,,2004,Europe
Ragondingue,Bagatelle,"Merlimont, Nord-Pas de Calais",F,F,S,Steel,1,13,47,420,No,0,0,90,2.5,2006,Europe
Rock 'n' Roller Coaster,Disneyland Resort Paris - Walt Disney Studios Park,"Marne la Vallée, Ile-de-France",F,F,S,Steel,1,24.4,92,1037.2,Yes,1,3,70,5,2002,Europe
Roller Coaster,Papéa Parc,"Yvré-l'Evêque, Pays de la Loire",F,F,S,Steel,1,8,36,360,No,0,0,,,2009,Europe
Ronde des Rondins,Parc Astérix,"Plailly, Picardie",F,F,S,Steel,1,3.3,26,60.2,No,0,0,48,,1991,Europe
Schlitt'Express,Nigloland,"Dolancourt, Champagne-Ardenne",F,F,S,Steel,1,14,45,370,No,0,0,,,2007,Europe
Serpent Hopi,OK Corral,"Cuges-les-Pins, Provence-Alpes-Cote d'Azur",F,F,S,Steel,1,8,36,360,No,0,0,,,,Europe
Sombrero,Jacquou Parc,"Le Bugue, Aquitaine",F,F,S,Steel,1,,,100,No,0,0,,,2008,Europe
Space Mountain: Mission 2,Disneyland Resort Paris - Disneyland Park,"Marne la Vallée, Ile-de-France",F,F,S,Steel,1,32,71,1000,Yes,1,3,125,,1995,Europe
Spatiale Expérience,Nigloland,"Dolancourt, Champagne-Ardenne",F,F,S,Steel,1,20,60,800,No,0,0,135,4.5,2000,Europe
Speedy Gonzales,Parc du Bocasse,"Bocasse, Normandy",F,F,S,Steel,1,6,34,135,No,0,0,,,2006,Europe
Tacot Express,Jardin d'Acclimatation,"Paris, Ile-de-France",F,F,S,Steel,1,,40,,No,0,0,60,,2001,Europe
Tigre de Sibérie,Le Pal,"Dompierre Sur Besbre, Centre",F,F,S,Steel,1,13,40,360,No,0,0,,,1990,Europe
Tonnerre de Zeus,Parc Astérix,"Plailly, Picardie",F,F,W,Wood,0,30,84,1232.6,No,0,0,125,,1997,Europe
Trace Du Hourra,Parc Astérix,"Plailly, Picardie",F,F,S,Steel,1,,60,900,No,0,0,,,2001,Europe
Train de la Mine,La Coccinelle,"Gujan-Mestras, Aquitaine",F,F,S,Steel,1,10,40,300,No,0,0,60,,2009,Europe
Une Souris Verte,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,1,13,47,420,No,0,0,90,2.5,2007,Europe
Vol D'Icare,Parc Astérix,"Plailly, Picardie",F,F,S,Steel,1,10.7,42,410,No,0,0,75,,1994,Europe
Waly Coaster,Walygator Parc,"Maizières-les-Metz, Lorraine",F,F,S,Steel,1,,,,Yes,1,3,75,,1989,Europe
Wilde Maus,Europark,"Vias, Languedoc-Roussillon",F,F,S,Steel,1,15,45,370,No,0,0,70,,2007,Europe
Wild Train,Parc Saint Paul,"Saint Paul, Picardie",F,F,S,Steel,1,15,,320,No,0,0,,,2000,Europe
Achterbahn,Rasti-Land,"Salzhemmendorf, Lower Saxony",D,D,S,Steel,1,8.5,35,207,No,0,0,44,,1989,Europe
Achterbahn,Nordsee Spielstadt Wangerland,"Hohenkirchen, Lower Saxony",D,D,S,Steel,1,4,,80,No,0,0,,,2006,Europe
Alpenexpress,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,6,45,264,No,0,0,,,1984,Europe
Atlantica SuperSplash,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,30,80,390,No,0,0,200,,2005,Europe
Backyardigans: Mission to Mars,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,1,8.5,35,207,No,0,0,44,,1996,Europe
Bandit,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,W,Wood,0,27.8,80,1099,No,0,0,90,,1999,Europe
Big Loop,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,1,30,63,706,Yes,1,4,,,1983,Europe
Black Mamba,Phantasialand,"Brühl, North Rhine-Westphalia",D,D,S,Steel,1,26,80,,Yes,1,4,,4,2006,Europe
blue fire Megacoaster,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,38,100,1056,Yes,1,4,150,3.8,2009,Europe
Boomerang,Freizeit-Land Geiselwind,"Geiselwind, Bavaria",D,D,S,Steel,1,35.5,75.6,285,Yes,1,3,168,5.2,2000,Europe
Bumerang,Freizeitzentrum SchiederSee,"Schieder, North Rhine-Westphalia",D,D,S,Steel,1,6.1,,,No,0,0,,,1991,Europe
Bumerang,Familienpark Funny-World,"Kappel, Baden Wuerttemberg",D,D,S,Steel,1,6.1,,,No,0,0,,,2003,Europe
Butterfly,Freizeitpark Lochmühle,"Wehrheim, Hesse",D,D,S,Steel,1,6.1,,,No,0,0,,,1998,Europe
Butterfly,Erlebniswelt Seilbahnen Thale,"Thale, Saxony-Anhalt",D,D,S,Steel,1,6.1,,,No,0,0,,,2000,Europe
Butterfly,Märchenwald Saalburg,"Saalburg, Thuringia",D,D,S,Steel,1,6.1,,,No,0,0,,,1995,Europe
Butterfly,Rügen Park,"Gingst, Mecklenburg-Western Pomerania",D,D,S,Steel,1,6.1,,,No,0,0,,,2000,Europe
Butterfly,Wildpark Schwarze Berge,"Rosengarten, Lower Saxony",D,D,S,Steel,1,6.1,,,No,0,0,,,1988,Europe
Butterfly,Skyline Park,"Bad Wörishofen, Bavaria",D,D,S,Steel,1,6.1,,,No,0,0,,,1996,Europe
Butterfly,Affen- und Vogelpark,"Reichshof Eckenhagen, North Rhine-Westphalia",D,D,S,Steel,1,6.1,,,No,0,0,,,1991,Europe
Colorado Adventure,Phantasialand,"Brühl, North Rhine-Westphalia",D,D,S,Steel,1,26,50,1280,No,0,0,175,,1996,Europe
Colossos,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,W,Wood,0,60,120,1344,No,0,0,175,,2001,Europe
Crazy Mine,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,S,Steel,1,15,45,370,No,0,0,70,,1997,Europe
Desert Race,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,1,19,100,650,No,0,0,49,,2007,Europe
Devil's Mine,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",D,D,S,Steel,1,19.5,,410,No,0,0,75,,1996,Europe
Die! Wilde Maus,Serengeti Park,"Hodenhagen, Lower Saxony",D,D,S,Steel,1,4.9,22.5,164.9,No,0,0,,,2007,Europe
Drachen-Achterbahn,Tier- und Freizeitpark Thüle,"Friesoythe-Thüle, Lower Saxony",D,D,S,Steel,1,9,39,222,No,0,0,,,1998,Europe
Drachenjagd,Legoland Deutschland,"Günzburg, Bavaria",D,D,S,Steel,1,5.5,33,150,No,0,0,,,2003,Europe
Eichhörnchenbahn,Freizeitpark Lochmühle,"Wehrheim, Hesse",D,D,S,Steel,1,4.5,30,128,No,0,0,,,1992,Europe
El Toro,Freizeitpark Plohn,"Lengenfeld, Saxony",D,D,W,Wood,0,24.5,73.4,725.1,No,0,0,,,2009,Europe
Euro Mir,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,28,80,980,No,0,0,273,4,1997,Europe
Eurosat,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,25.5,60,900,No,0,0,198,4,1989,Europe
Expedition GeForce,Holiday Park,"Hassloch, Rhineland-Palatinate",D,D,S,Steel,1,53,120,1220,No,0,0,75,4.5,2001,Europe
Familienachterbahn,Erse-Park,"Uetze, Lower Saxony",D,D,S,Steel,1,4.5,30,128,No,0,0,,,1992,Europe
Familienachterbahn,Schloß Beck Freizeitpark,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,1,6,32,199,No,0,0,,,1987,Europe
Familienachterbahn,Magic Park Verden,"Verden, Lower Saxony",D,D,S,Steel,1,8,36,360,No,0,0,,,2003,Europe
Familien-Achterbahn,Eifelpark,"Gondorf, Rhineland-Palatinate",D,D,S,Steel,1,4.5,30,128,No,0,0,,,1995,Europe
Familien-Achterbahn,Tolk Schau,"Tolk, Schleswig-Holstein",D,D,S,Steel,1,4.5,30,128,No,0,0,,,,Europe
Familienachterbahn-Drachenbahn,Schloß Thurn,"Heroldsbach, Bavaria",D,D,S,Steel,1,9,39,222,No,0,0,,,1998,Europe
Feuerdrache,Legoland Deutschland,"Günzburg, Bavaria",D,D,S,Steel,1,16,60,860,No,0,0,,,2002,Europe
Flotte Biene,Trampolino Familien- und Freizeitpark,"Andernach, Rhineland-Palatinate",D,D,S,Steel,1,,42,200,No,0,0,,,2008,Europe
Fluch von Novgorod,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,S,Steel,1,40,100,,Yes,1,1,,,2009,Europe
Froschbahn,Bayern Park,"Reisbach, Bavaria",D,D,S,Steel,1,3.3,26,60.2,No,0,0,,,1995,Europe
Froschflitzer,Serengeti Park,"Hodenhagen, Lower Saxony",D,D,S,Steel,1,8,36,360,No,0,0,,,1999,Europe
Ghost Chasers,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,1,14,45,370,No,0,0,110,,2000,Europe
Goldminen Express,Familienpark Funny-World,"Kappel, Baden Wuerttemberg",D,D,S,Steel,1,6.1,,,No,0,0,,,2005,Europe
Grazy Worm,Schwaben Park,"Kaisersbach, Baden Wuerttemberg",D,D,S,Steel,1,4,24,70,No,0,0,,,2003,Europe
Grottenblitz,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,1,6,45,370,No,0,0,,,1985,Europe
G'sengte Sau,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,S,Steel,1,16,,480,No,0,0,,3,1998,Europe
Heiße Fahrt,Wild- und Freizeitpark Klotten/Cochem,"Klotten, Rhineland-Palatinate",D,D,S,Steel,1,17.5,55,532,No,0,0,80,,2004,Europe
Himalayabahn,Schwaben Park,"Kaisersbach, Baden Wuerttemberg",D,D,S,Steel,1,13.5,,460,No,0,0,,,1989,Europe
Holzwurmachterbahn,Jaderpark,"Jaderberg, Lower Saxony",D,D,S,Steel,1,6,32,199,No,0,0,,,1996,Europe
Indy-Blitz,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,1,4.5,30,128,No,0,0,,,2008,Europe
Jimmy Neutron's Atomic Flyer,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,1,13,,294,No,0,0,,,2007,Europe
Limit,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,1,33.3,80,689,Yes,1,5,96,,1999,Europe
Mammut,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,W,Wood,0,30,90,860,No,0,0,,,2008,Europe
Marienkäferbahn,Zoo Safari- und Hollywoodpark Stukenbrock,"Stukenbrock, North Rhine-Westphalia",D,D,S,Steel,1,8,36,360,No,0,0,,,1979,Europe
Marienkäferbahn,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",D,D,S,Steel,1,8,36,360,No,0,0,65,,1986,Europe
Marienkäfer Hochbahn,Churpfalzpark,"Loifling, Bavaria",D,D,S,Steel,1,3.3,26,60.2,No,0,0,,,1983,Europe
Matterhorn Blitz,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,16,56.3,383,No,0,0,185,,1999,Europe
MP-Xpress,Movie Park Germany,"Bottrop, North Rhine-Westphalia",D,D,S,Steel,1,33.3,80,689,Yes,1,5,96,,2001,Europe
Nessie Superrollercoaster,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,S,Steel,1,26,79,741,Yes,1,1,130,,1979,Europe
Oachkatzl,Märchenwald im Isartal,"Wolfratshausen, Bavaria",D,D,S,Steel,1,10.5,46,290,No,0,0,,2.5,1999,Europe
Pegasus,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,15,65,400,No,0,0,70,,2006,Europe
Poseidon,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,23,70,836,No,0,0,240,3,2000,Europe
Potts Blitz,Potts Park,"Minden, North Rhine-Westphalia",D,D,S,Steel,1,9,39,222,No,0,0,,,1993,Europe
Project X - Test Strecke,Legoland Deutschland,"Günzburg, Bavaria",D,D,S,Steel,1,15.8,56,400,No,0,0,,,2002,Europe
Rasender Roland,Hansa Park,"Sierksdorf, Schleswig-Holstein",D,D,S,Steel,1,16,50,522,No,0,0,70,,1993,Europe
Rasender Tausendfüßler,Erlebnispark Tripsdrill,"Cleebronn, Baden Wuerttemberg",D,D,S,Steel,1,8,36,360,No,0,0,,,1986,Europe
Schmetterling,Lütge Land,"Altfunnixsiel, Lower Saxony",D,D,S,Steel,1,6.1,,,No,0,0,,,1991,Europe
Schmetterlings-Pendelbahn,Churpfalzpark,"Loifling, Bavaria",D,D,S,Steel,1,6.1,,,No,0,0,,,1989,Europe
Schweizer Bobbahn,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,19,50,487,No,0,0,105,3,1985,Europe
Schweizer Bobbahn,Heide-Park Soltau,"Soltau, Lower Saxony",D,D,S,Steel,1,27,53,990,No,0,0,100,,1994,Europe
Silver Star,Europa Park,"Rust, Baden Wuerttemberg",D,D,S,Steel,1,73,127,1620,No,0,0,240,4,2002,Europe
Sky Wheel,Skyline Park,"Bad Wörishofen, Bavaria",D,D,S,Steel,1,46,105,150,Yes,1,2,50,5,2004,Europe
Speedy,CentrO.Park,"Oberhausen, North Rhine-Westphalia",D,D,S,Steel,1,11.1,36,300,No,0,0,60,,2001,Europe
Super Tornado,Zoo Safari- und Hollywoodpark Stukenbrock,"Stukenbrock, North Rhine-Westphalia",D,D,S,Steel,1,19.5,60,350,Yes,1,2,,,1981,Europe
Super Wirbel,Holiday Park,"Hassloch, Rhineland-Palatinate",D,D,S,Steel,1,22.9,64.4,731.5,Yes,1,2,85,,1979,Europe
Taunusblitz,Taunus Wunderland,"Schlangenbad, Hesse",D,D,S,Steel,1,14,45,370,No,0,0,110,,1999,Europe
Temple of the Night Hawk,Phantasialand,"Brühl, North Rhine-Westphalia",D,D,S,Steel,1,,,1280,No,0,0,240,,1988,Europe
Wilde Mini Maus,Lollihop,"Munich, Bavaria",D,D,S,Steel,1,3.5,25,60,No,0,0,,,2007,Europe
Winjas,Phantasialand,"Brühl, North Rhine-Westphalia",D,D,S,Steel,1,17.4,66,465,No,0,0,,,2002,Europe
Wirbelwind,Fort Fun Abenteuerland,"Wasserfall, North Rhine-Westphalia",D,D,S,Steel,1,19.5,60,350,Yes,1,2,60,,1982,Europe
