RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,Height,Do you have any children under 18?,"In a row of three seats, who should get to use the two arm rests?","In a row of two seats, who should get to use the middle arm rest?",Who should have control over the window shade?,Is itrude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words tothe stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is itrude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is itrude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is itrude to wake a passenger up if you are trying to walk around?,"In general, is itrude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?",Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction?,Have you ever smoked a cigarette in an airplane bathroom when it was against the rules?,Gender,Age,Household Income,Education,Location (Census Region)
3431864204,Once a year or less,About half the time,63,No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"Yes, very rude","Yes, very rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,53,37000,Some college or Associate degree,Pacific
3431864594,Once a year or less,Once in a while,62,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude",No,No,Female,60,52000,Some college or Associate degree,Pacific
3431865276,Once a month or less,Once in a while,67,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,51,"",Graduate degree,East North Central
3431871050,Once a month or less,Once in a while,61,No,The people in the aisle and window seats get both arm rests,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,27,"",High school degree,South Atlantic
3431873661,Once a month or less,"","","","","","","","","","","","","","","","","","","","","","","","",""
3431873790,Once a year or less,Always,72,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,Female,21,25000,High school degree,Pacific
3431874935,Never,"","","","","","","","","","","","","","","","","","","","",Female,24,"",High school degree,Pacific
3431875832,Once a month or less,Always,72,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,"","","","",""
3431878240,Once a year or less,About half the time,66,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, very rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,75,50000,Bachelor degree,New England
3431882220,Once a year or less,Never,69,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,21,16000,Some college or Associate degree,Pacific
3431883250,Once a year or less,Always,65,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,60,131000,Graduate degree,Middle Atlantic
3431885098,Once a month or less,Usually,73,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude",No,No,Male,23,150000,Graduate degree,Pacific
3431885172,Never,"","","","","","","","","","","","","","","","","","","","",Female,49,19000,Some college or Associate degree,Pacific
3431885678,Once a year or less,Never,66,No,Other (please specify),Other (please specify),Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Female,23,24000,Bachelor degree,East North Central
3431888682,Never,"","","","","","","","","","","","","","","","","","","","",Female,36,28000,High school degree,West South Central
3431888945,Once a year or less,Never,69,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, very rude","Yes, very rude","Yes, somewhat rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Female,29,12000,Bachelor degree,Mountain
3431893642,Once a month or less,Always,68,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,30,150000,Some college or Associate degree,Pacific
3431894372,A few times per month,Once in a while,68,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"Yes, somewhat rude","Yes, somewhat rude",It is not okay to get up during flight,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Male,23,150000,Bachelor degree,Middle Atlantic
3431895941,Once a year or less,Always,69,Yes,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",It is not okay to get up during flight,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,Male,50,35000,Some college or Associate degree,Pacific
3431896498,Once a year or less,Once in a while,65,No,Other (please specify),Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Female,22,32000,Some college or Associate degree,Pacific
3431897367,Once a year or less,Once in a while,68,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,69,51000,Graduate degree,Middle Atlantic
3431904312,Never,"","","","","","","","","","","","","","","","","","","","",Female,75,"",Some college or Associate degree,New England
3431906335,Never,"","","","","","","","","","","","","","","","","","","","",Female,24,59000,Bachelor degree,West North Central
3431907216,Once a year or less,Once in a while,71,No,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude",Yes,No,Male,57,150000,Graduate degree,Pacific
3431912532,Once a year or less,Once in a while,70,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,Male,56,109000,Graduate degree,Mountain
3431921466,Once a year or less,About half the time,64,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,37,14000,Some college or Associate degree,New England
3431932411,Once a month or less,Always,68,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Female,44,114000,Graduate degree,South Atlantic
3431936351,Once a year or less,Never,64,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, very rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,31,96000,Some college or Associate degree,Pacific
3431936484,Once a year or less,Usually,73,No,Other (please specify),The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",Yes,No,Male,32,97000,Bachelor degree,New England
3431949818,Once a year or less,Always,68,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Female,34,150000,Graduate degree,Pacific
3431951668,Once a month or less,Always,66,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",Yes,No,Female,24,150000,Bachelor degree,Pacific
3431953153,Once a month or less,Always,72,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, very rude",No,No,Female,47,57000,Some college or Associate degree,West South Central
3431971431,Once a year or less,Once in a while,62,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","Yes, very rude","Yes, very rude","Yes, somewhat rude","Yes, somewhat rude",No,No,Male,21,70000,Bachelor degree,West South Central
3431974147,Once a year or less,Usually,61,Yes,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,39,79000,Some college or Associate degree,Pacific
3431975254,Once a year or less,Once in a while,64,No,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,"Yes, somewhat rude","Yes, somewhat rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,67,92000,Graduate degree,East North Central
3431985765,Once a month or less,Once in a while,67,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","No, not at all rude",No,No,Female,24,75000,High school degree,Pacific
3431987978,Once a year or less,Never,64,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude",No,No,Female,23,37000,Some college or Associate degree,Pacific
3431991453,Never,"","","","","","","","","","","","","","","","","","","","",Female,21,"",High school degree,East North Central
3431998894,Once a year or less,Never,67,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Male,67,"",Graduate degree,East North Central
3432000900,Once a year or less,Once in a while,64,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, somewhat rude","Yes, very rude",Yes,No,Female,21,"",Some college or Associate degree,Pacific
3432002937,Never,"","","","","","","","","","","","","","","","","","","","",Male,53,150000,Graduate degree,South Atlantic
3432019714,Once a year or less,Never,65,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,57,39000,High school degree,East South Central
3432026203,Once a year or less,Once in a while,72,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",Yes,No,Male,41,63000,Bachelor degree,West South Central
3432042001,Once a month or less,Usually,66,No,The person in the middle seat gets both arm rests,Whoever puts their arm on the arm rest first,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",Yes,No,Female,21,76000,High school degree,Mountain
3432042471,Once a month or less,Never,64,"",The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,34,14000,Some college or Associate degree,South Atlantic
3432045984,Once a year or less,About half the time,69,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude",No,No,Male,19,40000,Graduate degree,Pacific
3432049127,Never,"","","","","","","","","","","","","","","","","","","","",Female,29,48000,Some college or Associate degree,South Atlantic
3432050868,Once a year or less,About half the time,62,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","Yes, somewhat rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude",No,No,Female,79,35000,Some college or Associate degree,Mountain
3432055722,Once a year or less,Never,74,No,The arm rests should be shared,The person by the window,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Male,60,"",Bachelor degree,Middle Atlantic
3432059918,Never,"","","","","","","","","","","","","","","","","","","","",Male,58,133000,Some college or Associate degree,East North Central
3432062843,Once a month or less,Once in a while,66,No,The arm rests should be shared,Other (please specify),The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude",No,No,Female,57,52000,Some college or Associate degree,West South Central
3432063041,Once a year or less,About half the time,63,No,Other (please specify),Other (please specify),Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Male,75,83000,Graduate degree,East North Central
3432067639,A few times per month,Never,70,No,Other (please specify),Other (please specify),The person in the window seat should have exclusive control,"Yes, very rude","No, not at all rude",It is not okay to get up during flight,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Male,33,138000,Bachelor degree,South Atlantic
3432074152,Once a month or less,Always,62,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,18,51000,Graduate degree,Middle Atlantic
3432076181,A few times per month,Never,69,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, somewhat rude",Yes,No,Female,29,82000,Some college or Associate degree,New England
3432076946,Once a year or less,Usually,60,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, somewhat rude","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,Female,19,54000,High school degree,Middle Atlantic
3432077793,Once a year or less,Never,74,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Female,19,121000,Graduate degree,Pacific
3432079098,Once a month or less,Never,71,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,49,150000,Graduate degree,East North Central
3432086587,Once a year or less,Once in a while,62,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"Yes, somewhat rude","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude",No,No,Female,27,99000,Bachelor degree,East North Central
3432092158,Once a year or less,Usually,70,Yes,Whoever puts their arm on the arm rest first,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,31,137000,Graduate degree,New England
3432093428,Once a year or less,Usually,72,No,The arm rests should be shared,Other (please specify),The person in the window seat should have exclusive control,"Yes, somewhat rude","Yes, somewhat rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",Yes,No,Male,18,12000,Some college or Associate degree,Mountain
3432094936,Once a year or less,Once in a while,62,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",It is not okay to get up during flight,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Female,65,"",Bachelor degree,New England
3432095255,Once a year or less,Always,67,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",No,No,Male,58,78000,Some college or Associate degree,Middle Atlantic
3432099779,Never,"","","","","","","","","","","","","","","","","","","","",Male,31,"",Some college or Associate degree,East South Central
3432101827,Never,"","","","","","","","","","","","","","","","","","","","",Female,31,25000,High school degree,New England
3432102440,Once a year or less,Once in a while,64,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",Yes,No,Female,18,"",Bachelor degree,South Atlantic
3432107773,Once a year or less,Once in a while,64,Yes,The people in the aisle and window seats get both arm rests,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Female,39,76000,Graduate degree,West North Central
3432108702,Once a year or less,Once in a while,70,Yes,The person in the middle seat gets both arm rests,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",Yes,No,Male,52,124000,Bachelor degree,East North Central
3432109525,Once a month or less,Usually,68,No,The person in the middle seat gets both arm rests,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Female,55,145000,Some college or Associate degree,New England
3432112271,Once a year or less,Once in a while,74,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",Yes,No,Male,53,108000,Some college or Associate degree,Middle Atlantic
3432112874,Once a year or less,About half the time,63,No,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude",No,No,Female,19,150000,Bachelor degree,New England
3432115440,Once a year or less,Usually,64,Yes,The arm rests should be shared,Whoever puts their arm on the arm rest first,The person in the window seat should have exclusive control,"No, not rude at all","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude","No, not at all rude","No, not at all rude",No,No,Female,42,"",Bachelor degree,East North Central
3432116227,Once a year or less,Once in a while,68,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude",No,No,Female,40,"",Bachelor degree,East North Central
3432118237,Once a year or less,Once in a while,67,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"Yes, somewhat rude","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude",No,No,Female,59,"",Bachelor degree,New England
3432118621,Once a year or less,Once in a while,72,Yes,The arm rests should be shared,The person by the window,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude",No,No,Male,57,74000,Bachelor degree,East North Central
3432120329,Once a year or less,Usually,60,Yes,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude",No,No,Female,60,98000,Some college or Associate degree,New England
3432120431,Once a year or less,Usually,64,No,The arm rests should be shared,The arm rests should be shared,The person in the window seat should have exclusive control,"No, not rude at all","Yes, somewhat rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude","Yes, very rude",No,No,Female,59,55000,Graduate degree,Middle Atlantic
3432120794,Once a year or less,Once in a while,69,No,The arm rests should be shared,The arm rests should be shared,Everyone in the row should have some say,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude",No,No,Male,78,112000,Some college or Associate degree,South Atlantic
